"id"	"novel_name"	"novel_author"	"novel_click"	"novel_count"	"novel_type"	"novel_recommend"	"novel_detail"	"time"	"url"
"100"	"无敌仙帝"	"上将司令"	"213.4万点击"	"221.5万字"	"[玄幻, 强者, 无敌流, 剑, 武]"	"85推荐"	"  这是一个天道崩塌，道法不全的世界。  万族都在混战。  叶云历经灵魂转世，两世修行，结束了这个混乱时代，被诸天万界共尊为无敌仙帝，此后，他回到转世重修地，只为挚爱。  仙帝护妻：她是我挚爱，得罪我尚有活路，得罪她万劫不复。  “我向来以理服人，不服的都是死人——叶云！” "	"更新时间：2024-03-15 08:02:33"	"http://www.shuhai.com/book/110841.htm"
"101"	"诡案八组"	"十年荒野"	"170.7万点击"	"81.7万字"	"[悬疑, 凶案, 淡定, 机智, 励志]"	"881推荐"	"  聚会爆炸案，死伤无数，人心惶惶；坟地醉酒赌钱案，叫无数人对董家坟敬而远之，不敢夜间经过；玉米地器官案，令人谈米色变；明星恐吓案，引出十几年前血淋淋的真相。诸多悬案，多年不破，一个呆子，一个愣子，一个骗子，三个热血青年，一一揭开背后真相，真相令人瞠目结舌。 "	"更新时间：2019-08-31 21:26:06"	"http://www.shuhai.com/book/46380.htm"
"102"	"重生仙帝奶爸"	"疯狂飞机"	"50.1万点击"	"76.5万字"	"[都市, 强者, 回归, 扮猪吃虎, 爽文]"	"530推荐"	"  仙界南空仙帝重生，回到平行地球的自己身上，却多了个记忆中没有的女儿。  当奶爸的他，快乐又痛苦？  不不不。  养孩子当然是快乐了，牛逼法宝当玩具，仙丹都当糖豆吃，宠物通通是灵兽，看孩子把各种好东西给小伙伴分享，小朋友和家长都震惊的都斯巴达了！ "	"更新时间：2019-12-26 17:02:21"	"http://www.shuhai.com/book/53452.htm"
"103"	"都市绝代仙医"	"饿了就吃八宝粥"	"27.4万点击"	"29.8万字"	"[都市, 神医, 练功流, 回归, 逆袭]"	"147推荐"	"  赵真被好兄弟郑智谷灌了一杯毒酒，冤枉成精神病。在精神病院四年，赵真和病友老孙头学习九品天仙决和医相星卜，学成之后，赵真通过精神病检测，终于出院了。  从此龙入深海，鹰击九天。一代帝王仙医横空出世。 "	"更新时间：2022-07-28 19:00:05"	"http://www.shuhai.com/book/110485.htm"
"104"	"无上剑尊"	"灭世神火"	"277.6万点击"	"155.5万字"	"[玄幻, 废材流, 霸气]"	"139推荐"	"  外门天才弟子陈立遭遇夺舍，虽化解危机，却成为无法修炼的废人，修炼渺茫的他最终归路又该如何，是默默无闻的度过平凡的一生，又或是逆天改命，成就无上之尊。 "	"更新时间：2023-05-22 09:31:00"	"http://www.shuhai.com/book/110718.htm"
"105"	"不可能犯罪"	"炒扎粉加肉"	"276.8万点击"	"140.8万字"	"[悬疑, 凶案]"	"35推荐"	"  广安赫赫有名的公安总局刑警大队长，年仅25岁便破获无数案子当上刑警队长的人物，惊才艳绝。  性格：沉着冷静，因为多年的破案生涯，所以有泰山崩于前而面不变色的心境，知识极其丰富，洞察力敏锐，是个天才一样的人物。  因为几起案件被卷入一场有心人设计的浩浩荡荡的浩劫之中，一个一个可能有线索的人物不断的死去，而何天下的目的就是找出一切的真相！  第一起案件：千里杀人，密室杀人。  何天下自己成为了嫌疑犯，多年前随手抓的小贼，竟然死在了刚刚出狱之后的自己家中。  经过一番推理，破获了这个案子，但是却又引出了更奇怪的事情，意图栽赃陷害给他的幕后黑手到底是谁，为什么多年前的小贼，一个十分边缘化的人物，竟然在遗言之中准确预言出了他姐姐昏厥过去的时间？ "	"更新时间：2020-11-02 10:31:00"	"http://www.shuhai.com/book/46206.htm"
"106"	"不灭龙丹"	"文字控"	"456.5万点击"	"85.5万字"	"[修真, 精品]"	"3583推荐"	"  一个卑微的生灵，懵懵懂懂度过十八年，在他为生计担忧之时，一次偶然的机遇，获得至宝大帝舍利，从此踏入一个光怪陆离的修仙世界！  入宗门，踩小人，报血仇，屠戮天骄，一步步走上巅峰！  身怀惊世至宝，寻天材，觅地宝，成就无敌仙途！ "	"更新时间：2021-07-31 22:06:47"	"http://www.shuhai.com/book/32841.htm"
"107"	"娱乐：穿越女神直播间，秀翻女主播"	"枕上云"	"12.0万点击"	"37.8万字"	"[都市, 系统, 直播, 爽文]"	"5推荐"	"  【女神直播+系统+攻略】  自从获得一个直播穿越系统后，我的人生从此发生了改变。看钢琴女神弹琴，竟然获得钢琴大师的技能，完美演奏让女神投怀送抱。系统不仅可以兑换豪车别墅，甚至还有透视眼读心术等异能。无安全绳索攀岩，单手漂移过弯，一拳KO职业拳王……  跨年狂欢夜，众多梦寐以求的女神单膝跪地，“陈烨，我要跟你结婚，我要给你生三个！” "	"更新时间：2023-05-25 08:07:49"	"http://www.shuhai.com/book/110832.htm"
"108"	"武道狂徒"	"洪荒未名"	"255.5万点击"	"112.3万字"	"[玄幻, 铁血]"	"130推荐"	"  当众神将叶寒一家围在万皇殿时，当父亲拼尽全力送他出逃时，当所有血亲一一倒在血泊之中，叶寒孱弱的身影凌立在众神之下，他仰着天，眼眸锐利如剑，蔑视神威，冷声喊道：“我，凤歌皇朝大皇子叶寒！今若不死，他日必取你们顶上狗头，以祭我宗族！  ;踏神尸，抽神骨，饮神血，杀上九天！ "	"更新时间：2019-03-31 16:33:21"	"http://www.shuhai.com/book/37603.htm"
"109"	"等你唤醒我"	"香菇鱼丸"	"29.1万点击"	"120.1万字"	"[悬疑, 凶案, 刑侦, 腹黑, 大圆满]"	"36推荐"	"  她时常做一种可怕的梦，每次都会让她以为在梦中结束自己的生命。一个梦魇的开始，便是寻找一个被人遗忘的案发现场。  程沐是一个有忍耐度的人，一般不会用拳头说话，但是一个大男人站在自己的面前，哭哭啼啼，无辜可怜的红眼睛像只兔子。她的手掌已经开始蠢蠢欲动了，潇洒且爽快的拖着穆旻，丢进了垃圾桶里面。  她废话少说，他聒噪粘人。  万人迷的侦查心理学家，一朝伤了脑子，整天跟在程沐的身后，活脱脱的像极了不受宠的小媳妇。  穆旻可怜兮兮的望着程沐，他发烧了，很严重的样子。  程沐脚板放在了他的额头上，嫌弃道：“脑袋已经坏了，再烧会儿，说不定负负得正了。” "	"更新时间：2023-12-11 21:27:00"	"http://www.shuhai.com/book/56743.htm"
"110"	"玄幻：无敌皇帝，召唤不朽圣庭"	"会飞的猪"	"45.6万点击"	"104.6万字"	"[玄幻, 系统, 争霸, 创造新世界]"	"2772推荐"	"  神凰大陆南域云灵州九等诸侯国——梁国，秦枫从异界穿越而来，占领了梁国国主的身体，在叛军攻破都城的时候，觉醒了天运召唤系统，召唤群雄，逐鹿中原，收亿兆民心，大刀阔斧搞改革，建立万古不朽的亘古圣庭！ "	"更新时间：2021-12-15 08:00:00"	"http://www.shuhai.com/book/103792.htm"
